Duration,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.),state
2014-15,16475655.0,10435121.0,3972829.0,1592564.0,475141.0,5282727.0,21758383.0,33660294.0,4334702.0,9450211.0,47445207.0,15839100.0,14286902.0,1552198.0,9697246.0,797933.0,4644123.0,223626.0,174188.0,1175023.0,131237.0,2551115.0,16143324.0,30718051.0,5426991.0,10806363.0,88631076.0,157834665.0,25394800.0,4017300.0,179212165.0,1172450.0,152853.0,Maharashtra
2014-15,383140.0,226583.0,75483.0,45831.0,35243.0,,383140.0,49501.0,27490.0,143182.0,220173.0,262950.0,253637.0,9313.0,109726.0,6.0,58974.0,,6288.0,2441.0,,42017.0,30315.0,159335.0,297078.0,317930.0,1177334.0,1780647.0,92766.0,69137.0,1804276.0,30873.0,58442.0,Manipur
2014-15,366521.0,223330.0,72442.0,61166.0,9583.0,84529.0,451050.0,433213.0,54473.0,150256.0,637942.0,383974.0,357727.0,26247.0,148189.0,0.0,105783.0,,1443.0,,416.0,40547.0,64091.0,150409.0,239782.0,214211.0,1200655.0,2289647.0,213272.0,62112.0,2440807.0,32020.0,76228.0,Meghalaya
2014-15,217010.0,116609.0,45590.0,47763.0,7048.0,8588.0,225598.0,8479.0,128365.0,133228.0,270072.0,114315.0,111324.0,2991.0,52587.0,32.0,34684.0,331.0,144.0,0.0,0.0,17395.0,23168.0,55068.0,206259.0,186222.0,637619.0,1133289.0,43084.0,20440.0,1155933.0,11833.0,97687.0,Mizoram
2014-15,607897.0,375825.0,123800.0,99802.0,8470.0,8280.0,616178.0,18346.0,37944.0,156072.0,212361.0,140781.0,134174.0,6607.0,77521.0,336.0,34548.0,600.0,4153.0,0.0,89.0,37794.0,60393.0,159651.0,295424.0,259186.0,992956.0,1821495.0,57674.0,37745.0,1841424.0,20550.0,89607.0,Nagaland
2014-15,6422978.0,4382636.0,788243.0,791463.0,460636.0,2586328.0,9009306.0,5754229.0,833067.0,2402396.0,8989693.0,3149555.0,2886789.0,262766.0,2034016.0,341494.0,973144.0,50349.0,15354.0,117469.0,22675.0,513531.0,1065147.0,2348714.0,1318221.0,2340603.0,12256258.0,30255256.0,3151184.0,1209349.0,32197092.0,435220.0,73979.0,Odisha
2014-15,113156.0,38878.0,45358.0,3931.0,24989.0,33272.0,146428.0,618297.0,60624.0,316205.0,995126.0,200290.0,171312.0,28978.0,88192.0,263.0,49909.0,2946.0,0.0,1071.0,28.0,33975.0,72252.0,251106.0,82612.0,283268.0,977720.0,2119274.0,331269.0,41686.0,2408857.0,13710.0,175701.0,Puducherry
2014-15,9285716.0,5690972.0,2638842.0,848245.0,107657.0,10354.0,9296070.0,4790341.0,911611.0,2202962.0,7904914.0,4419919.0,4201252.0,218667.0,1951809.0,233389.0,928575.0,0.0,4473.0,48124.0,76429.0,660819.0,2057520.0,3142786.0,1842730.0,3303041.0,16717805.0,33918789.0,3794100.0,911800.0,36801089.0,290673.0,126606.0,Punjab
2014-15,15044394.0,7673441.0,5356257.0,1956660.0,58036.0,4069385.0,19113780.0,6552580.0,1122888.0,5353326.0,13028794.0,7297290.0,6942748.0,354543.0,3814461.0,464638.0,2121206.0,0.0,13469.0,47609.0,16584.0,1150955.0,1827413.0,6451997.0,2460364.0,4164287.0,26015812.0,58158386.0,5394503.0,2333442.0,61219447.0,721610.0,84837.0,Rajasthan
2014-15,137447.0,114976.0,17338.0,4529.0,604.0,1329.0,138776.0,550697.0,212499.0,82058.0,845253.0,70568.0,64624.0,5945.0,47347.0,0.0,35283.0,0.0,0.0,0.0,0.0,12064.0,21079.0,75330.0,119514.0,149265.0,483103.0,1467133.0,72200.0,18400.0,1520933.0,6330.0,240274.0,Sikkim
2014-15,13064238.0,7297820.0,4693361.0,392705.0,680352.0,265536.0,13329774.0,18914794.0,1710379.0,12216718.0,32841892.0,12895842.0,11252588.0,1643253.0,7188320.0,468553.0,3660994.0,70414.0,180836.0,864407.0,39834.0,1903283.0,5598498.0,16830213.0,3400800.0,7430115.0,53343788.0,99515453.0,12507325.0,2766405.0,109256373.0,745760.0,146503.0,Tamil Nadu
2014-15,7591501.0,4162493.0,2951299.0,210741.0,266968.0,1541853.0,9133354.0,6353711.0,716266.0,2854024.0,9924001.0,6494607.0,5724128.0,770479.0,3604741.0,199686.0,2055658.0,0.0,120691.0,454909.0,19805.0,753992.0,3023729.0,9478839.0,1711265.0,4158229.0,28471410.0,47528765.0,4425700.0,836700.0,51117765.0,367660.0,139035.0,Telangana
2014-15,799825.0,397591.0,88176.0,145096.0,168961.0,142391.0,942216.0,228625.0,77870.0,177899.0,484393.0,390423.0,390423.0,,155956.0,305.0,,,,88721.0,254.0,66676.0,86094.0,190704.0,338244.0,323287.0,1484709.0,2911319.0,149345.0,94002.0,2966662.0,38350.0,77358.0,Tripura
2014-15,25097754.0,16215212.0,7096876.0,1404936.0,380730.0,901501.0,25999255.0,12261649.0,2030625.0,11256450.0,25548724.0,9437243.0,8476139.0,961104.0,7404509.0,1618742.0,3645747.0,681.0,36582.0,16323.0,171696.0,1914737.0,3392275.0,14548185.0,6152124.0,5034623.0,45968959.0,97516938.0,10107396.0,3287219.0,104337115.0,2109940.0,49450.0,Uttar Pradesh
2014-15,1601423.0,866146.0,391188.0,339293.0,4796.0,244549.0,1845972.0,5866252.0,433880.0,1342733.0,7642865.0,1743106.0,1534073.0,209033.0,1066693.0,21295.0,307147.0,,3889.0,-76.0,660.0,733778.0,385030.0,831307.0,579409.0,982430.0,5587975.0,15076812.0,1434856.0,313139.0,16198529.0,105820.0,153076.0,Uttarakhand
